,ColorName,RGBhex,RGB_R,RGB_G,RGB_B,CIELab_L,CIELab_a,CIELab_b,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z,CIExyY_x,CIExyY_y,CIExyY_Y,munsell
141,BronzeGreen,#464b2f,70,75,47,30.7364,-8.3,9.78,0.3863,0.4029,0.354,0.3379,0.3524,0.4029,
142,DeepOlive,#494e21,73,78,33,31.7572,-10.55,20.14,0.3906,0.4117,0.311,0.3508,0.3698,0.4117,
143,OliveGreen,#6e672c,110,103,44,43.0672,-6.8,27.06,0.4956,0.5092,0.3739,0.3595,0.3693,0.5092,
144,GreyOlive,#736e48,115,110,72,46.002,-5.6,13.7,0.5233,0.5345,0.466,0.3434,0.3508,0.5345,
145,SageGreen,#9d9860,157,152,96,62.0564,-8.35,20.0,0.6562,0.6729,0.5729,0.345,0.3538,0.6729,
146,BrownOlive,#515c20,81,92,32,36.954,-15.0,26.48,0.4265,0.4565,0.3241,0.3533,0.3782,0.4565,
147,YellowOlive,#887a09,136,122,9,50.8972,-7.1,48.68,0.5625,0.5767,0.3333,0.382,0.3916,0.5767,
148,OliveYellow,#dab100,218,177,0,73.7724,-0.15,68.62,0.7736,0.7739,0.4308,0.391,0.3912,0.7739,
149,GreenishYellow,#ffbf00,255,191,0,81.034,8.3,74.88,0.8531,0.8365,0.4621,0.3965,0.3888,0.8365,
150,BisterYellow,#ffc100,255,193,0,81.5096,7.3,75.16,0.8552,0.8406,0.4648,0.3958,0.3891,0.8406,
151,Lemon,#ffc100,255,193,0,81.5096,7.3,75.16,0.8552,0.8406,0.4648,0.3958,0.3891,0.8406,
152,ChromeYellow,#ffca00,255,202,0,83.702,2.65,76.44,0.8648,0.8595,0.4773,0.3928,0.3904,0.8595,
153,Yellow,#ffc700,255,199,0,82.9712,4.2,76.02,0.8616,0.8532,0.4731,0.3938,0.39,0.8532,
154,OrangeYellow,#ffc700,255,199,0,82.9712,4.2,76.02,0.8616,0.8532,0.4731,0.3938,0.39,0.8532,
155,YellowOrange,#ff9e00,255,158,0,73.3664,25.6,70.58,0.8216,0.7704,0.4175,0.4089,0.3834,0.7704,
156,DullOrange,#ff9200,255,146,0,70.7448,31.85,69.18,0.8115,0.7478,0.4019,0.4138,0.3813,0.7478,
157,PaleOrange,#ffa804,255,168,4,75.6284,20.4,71.32,0.8307,0.7899,0.4333,0.4045,0.3846,0.7899,
158,Orange,#ff6503,255,101,3,62.1492,53.6,64.54,0.7809,0.6737,0.351,0.4325,0.3731,0.6737,
159,BrightOrange,#ff6701,255,103,1,62.474,52.7,65.04,0.7819,0.6765,0.3513,0.4321,0.3738,0.6765,
160,ReddishOrange,#ff7100,255,113,0,64.2256,48.1,66.02,0.7878,0.6916,0.3615,0.4279,0.3757,0.6916,
161,RedOrange,#ff5604,255,86,4,59.8292,59.8,63.36,0.7733,0.6537,0.3369,0.4384,0.3706,0.6537,
162,OrangeRed,#fc350a,252,53,10,55.3516,69.9,59.92,0.7549,0.6151,0.3155,0.4479,0.3649,0.6151,
163,IndianRed,#b73806,183,56,6,42.6264,48.05,47.82,0.6015,0.5054,0.2663,0.438,0.368,0.5054,
164,Salmon,#f86e42,248,110,66,62.9264,48.4,41.06,0.7772,0.6804,0.4751,0.4021,0.352,0.6804,
165,Flesh,#fbb579,251,181,121,79.004,16.8,28.5,0.8526,0.819,0.6765,0.3631,0.3488,0.819,
166,SalmonPink,#f78f70,247,143,112,69.8864,34.45,22.4,0.8093,0.7404,0.6284,0.3716,0.3399,0.7404,
167,Pink,#faa397,250,163,151,75.3036,28.8,6.26,0.8447,0.7871,0.7558,0.3538,0.3297,0.7871,
168,VenetianRed,#d4443f,212,68,63,50.0852,54.4,27.4,0.6785,0.5697,0.4327,0.4037,0.3389,0.5697,
169,BrownRed,#c00028,192,0,40,40.1788,63.95,30.34,0.6122,0.4843,0.3326,0.4284,0.3389,0.4843,
170,DullVermillion,#ec0515,236,5,21,49.4936,73.65,51.84,0.7119,0.5646,0.3054,0.45,0.3569,0.5646,
171,OrangeVermillion,#cd0006,205,0,6,42.754,66.5,50.5,0.6395,0.5065,0.254,0.4568,0.3618,0.5065,
172,Vermillion,#c70008,199,0,8,41.478,65.0,48.54,0.6255,0.4955,0.2528,0.4553,0.3607,0.4955,
173,ScarletVermillion,#a7000b,167,0,11,34.4832,57.15,40.14,0.5495,0.4352,0.2345,0.4507,0.357,0.4352,
174,CarmineVermillion,#a00011,160,0,17,32.952,55.5,35.42,0.533,0.422,0.2449,0.4442,0.3517,0.422,
175,DullScarlet,#e61828,230,24,40,49.0528,70.55,41.4,0.7019,0.5608,0.3538,0.4342,0.3469,0.5608,
176,Red,#da0027,218,0,39,45.712,70.1,38.12,0.6722,0.532,0.3414,0.4349,0.3442,0.532,
