SAMPLE_ID,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B,LAB_C,LAB_H,D_RED,D_GREEN,D_BLUE,D_VIS,STDEV_X,STDEV_Y,STDEV_Z,MEAN_DE,STDEV_DE,R,G,B,dR,dG,dB
G18,25.79,37.18,16.6,67.41,-37.39,26.64,45.91,144.53,0.68,0.33,0.67,0.46,0.1,0.11,0.11,0.21,0.23,43.4871,69.1946,39.7853,0.607407,0.544987,0.793673
G19,20.81,18.75,42.86,50.39,13.75,-46.29,48.29,286.55,0.78,0.72,0.31,0.75,0.08,0.11,0.09,0.26,0.31,41.16,44.0217,82.4047,0.553528,0.485029,0.634709
G20,37.8,36.6,16.24,66.98,8.27,26.72,27.97,72.8,0.33,0.48,0.69,0.41,0.05,0.09,0.14,0.34,0.39,78.3843,56.8682,42.3478,0.641998,0.474714,0.859796
G21,36.75,35.21,10.93,65.91,9.46,39.27,40.39,76.46,0.33,0.52,0.84,0.43,0.21,0.19,0.04,0.27,0.33,79.7364,55.3692,32.6944,0.613817,0.441993,0.6566
G22,47.97,44.61,3.12,72.63,14.14,85.67,86.83,80.63,0.2,0.46,1.36,0.31,0.13,0.12,0.06,0.34,0.46,95.0387,63.0594,12.9896,0.613974,0.459677,0.711941
H1,3.01,3.46,3.9,21.81,-5.61,-7.15,9.09,231.85,1.55,1.4,1.3,1.49,0.04,0.05,0.07,0.39,0.44,18.0818,19.3323,25.5499,0.668184,0.594653,0.64453
H2,2.62,3.4,5.12,21.57,-11.61,-14.4,18.49,231.13,1.77,1.36,1.19,1.53,0.03,0.04,0.06,0.3,0.34,14.0186,19.2829,27.8008,0.576914,0.499062,0.623266
H3,2.29,3.33,6.39,21.34,-17.21,-20.89,27.06,230.52,2.08,1.31,1.1,1.57,0.02,0.03,0.07,0.31,0.36,10.1936,19.8016,30.9837,0.734964,0.543886,0.756519
H4,2.41,3.52,6.83,22,-17.69,-21.61,27.93,230.7,2.07,1.29,1.07,1.54,0.03,0.03,0.08,0.29,0.33,10.8509,21.1615,32.5415,0.78314,0.577991,0.675582
H5,10.83,12.36,13.77,41.78,-7.79,-10.48,13.06,233.37,1.01,0.86,0.77,0.93,0.09,0.09,0.11,0.31,0.37,29.0847,34.1463,42.7267,0.598534,0.493131,0.66348
H6,9.96,12.45,17.31,41.92,-15.05,-18.98,24.23,231.59,1.16,0.81,0.67,0.95,0.06,0.07,0.17,0.3,0.34,22.7034,36.2191,48.6135,0.568574,0.473205,0.729395
H7,8.92,12.32,21.42,41.72,-22.69,-28.07,36.09,231.06,1.41,0.77,0.59,0.98,0.03,0.04,0.11,0.22,0.25,15.4403,38.1394,55.46,0.560501,0.426719,0.782252
H8,7.66,11.88,25.58,41.03,-30.87,-37.03,48.21,230.18,1.92,0.73,0.51,1.03,0.05,0.08,0.12,0.24,0.29,9.56172,39.9998,62.4049,0.743188,0.543227,0.820095
H9,40.74,43.74,41.41,72.06,-4.37,-7.11,8.34,238.44,0.39,0.34,0.3,0.37,0.2,0.2,0.24,0.19,0.22,65.1206,68.4254,75.6889,0.708743,0.595254,0.73649
H10,39.6,43.88,45.44,72.15,-8.28,-11.95,14.54,235.27,0.43,0.32,0.26,0.37,0.18,0.16,0.21,0.23,0.26,60.7474,71.012,80.9309,0.577727,0.455788,0.642123
H11,37.88,43.55,49.13,71.93,-12.8,-16.66,21.01,232.45,0.49,0.3,0.23,0.39,0.08,0.1,0.13,0.16,0.19,54.9797,72.6799,85.9098,0.528348,0.517702,0.737618
H12,32.95,42.61,57.91,71.29,-26.69,-27.23,38.13,225.57,0.68,0.26,0.16,0.42,0.15,0.14,0.12,0.19,0.24,39.0682,76.2113,95.465,0.574793,0.610902,0.651214
H13,29.16,40.33,56.84,69.71,-33.81,-28.86,44.45,220.48,0.81,0.26,0.17,0.45,0.2,0.21,0.13,0.2,0.26,32.1672,75.6326,94.2492,0.639242,0.503494,0.590822
H14,40.03,26.12,43.17,58.15,53.36,-33.3,62.9,328.03,0.3,0.8,0.31,0.53,0.11,0.12,0.12,0.25,0.29,87.473,41.5072,85.3854,0.687491,0.518935,0.727634
H15,62.6,63.94,13.09,83.93,2.21,64.04,64.08,88.02,0.12,0.24,0.76,0.17,0.17,0.2,0.2,0.34,0.44,99.9996,81.9582,30.4099,0.110013,0.525504,0.793223
H16,9.71,10.04,8.69,37.91,0.27,-1.48,1.51,280.51,0.97,1,0.96,1,0.07,0.07,0.06,0.28,0.32,36.4117,30.99,33.7526,0.589876,0.595242,0.545783
H17,32.05,22.03,9.17,54.05,44.4,24.62,50.77,29.01,0.33,0.92,0.94,0.58,0.12,0.13,0.13,0.42,0.46,86.984,33.8767,34.0435,0.522367,0.466552,0.646985
H18,20.14,31.21,12.02,62.68,-42.5,30.44,52.27,144.39,0.82,0.39,0.8,0.54,0.12,0.11,0.15,0.43,0.48,35.652,63.8231,32.9575,0.63945,0.492909,0.651726
