,R,G,B,LAB_L,LAB_A,LAB_B,LAB_L_m,LAB_A_m,LAB_B_m,LAB_L_c,LAB_A_c,LAB_B_c,LAB_dE
89,56.213248,57.47328,44.983808,26.67,-10.27,18.02,23.7068,-3.95,1.72,25.6458497788,-7.08645998186,13.8320128911,5.35938865425
90,52.345088,61.462016,35.020032,28.11,-15.63,30.29,24.484,-10.0,9.76,27.426352705,-11.9919988051,21.8378501678,9.22720234433
91,50.742016,59.585792,35.304704,26.68,-15.14,28.48,23.7068,-9.55,8.56,26.3941939368,-11.7493983066,20.7094628129,8.48287174989
92,98.469888,97.471744,79.840512,46.57,-8.0,12.62,40.956,-4.1,1.68,44.5941800921,-6.57274888412,13.2209686197,2.51039306445
93,91.088128,101.26848,59.545088,46.54,-15.66,26.86,41.072,-12.6,14.94,45.5210208976,-12.8429611875,25.3976581152,3.33353714102
94,82.081024,106.804224,42.753536,46.65,-23.33,41.28,41.9188,-21.5,25.84,47.0345120906,-20.2512925748,36.0701529966,6.06372779374
95,73.055488,114.029824,30.257408,46.68,-29.23,54.71,43.5892,-29.95,33.74,49.1311839975,-28.6619491326,44.0468599817,10.9559819199
96,178.698496,174.44736,156.679936,72.08,-4.63,6.63,71.1624,-3.4,-3.96,70.8158557383,-5.52428393741,7.8470962135,1.96955011815
97,175.7952,177.79712,140.473856,71.93,-8.35,14.62,71.4756,-8.85,6.14,71.3052858964,-8.91545308462,15.3334772415,1.10410809089
98,170.904064,182.666496,124.516096,72.09,-13.32,22.93,72.1252,-15.5,16.3,71.9846002024,-13.3674220372,23.1073315346,0.211670593402
99,147.448064,189.485824,80.253184,70.85,-25.96,47.33,71.8468,-32.9,39.84,71.8882583119,-27.8720231981,44.0477507693,3.93788941499
100,152.439296,227.10656,248.97152,80.28,-21.36,-16.99,86.2888,-19.75,-36.72,81.2442581542,-26.344135025,-15.6861102843,5.24132846961
101,249.332736,166.688768,243.392768,73.67,30.07,-20.98,78.5864,39.95,-44.24,74.7708297608,32.6083772622,-21.0701924102,2.76827021049
102,256.0,233.844224,144.760832,87.85,-1.86,35.52,92.6804,-6.4,32.18,87.2512021841,-2.10764591499,36.3939792728,1.08799223019
103,157.490688,143.050752,148.452608,61.95,0.05,-0.76,60.8152,4.75,-13.82,61.8808160376,-0.0422073329369,0.415102903194,1.18074359875
104,249.703168,148.921088,148.54272,70.61,25.08,12.94,72.16,35.8,3.48,71.3639381589,27.8285498247,16.4065890586,4.48778214573
105,156.39936,206.92736,145.574912,76.55,-26.27,18.14,78.3196,-29.8,12.02,76.3404774402,-29.4214760381,17.3345640563,3.25951345772
106,149.643776,152.57472,231.92832,65.1,7.28,-32.29,65.6872,15.75,-57.94,64.3710515972,6.68354033294,-35.7844501032,3.61915893992
107,203.321344,80.286208,49.001984,49.41,40.39,62.24,50.3868,45.6,35.7,51.5381862108,39.1850545699,49.2720467818,13.1965480602
108,156.862208,84.08448,56.814848,46.03,20.61,38.42,43.9488,26.25,21.9,45.5341837574,20.450448859,32.4233053133,6.01927217186
109,199.776,114.498816,84.921088,59.32,20.44,32.29,57.1264,29.05,21.62,58.4388439866,22.3739666863,32.3066596859,2.12530953252
110,41.448448,44.644352,49.635584,16.58,-8.62,2.48,18.1852,-0.85,-9.76,17.4372899413,-5.29758593156,3.01600877965,3.4728499388
111,34.10944,45.120512,45.332992,16.36,-19.61,6.07,17.5588,-5.3,-7.46,17.1433584793,-9.82494448293,5.65588119997,9.82509319852
112,30.021888,47.214336,44.034048,18.23,-25.8,7.95,17.9648,-8.65,-5.92,18.2932430804,-13.1211277049,7.45023789106,12.6888756211
113,29.048576,43.504896,41.92384,16.12,-22.29,6.72,16.48,-7.15,-6.46,15.6706470111,-11.6754289988,6.80945152218,10.6244546788
114,63.961088,75.867904,73.720064,36.62,-12.62,3.6,31.1888,-6.2,-8.24,34.6857512042,-10.2858790586,4.92515277565,3.30839369664
115,49.754624,81.429504,66.859776,36.82,-25.73,8.58,31.8616,-16.35,-2.62,36.6121626835,-20.24126466,10.4815910799,5.81252618215
116,35.99744,86.331648,60.345088,36.73,-39.28,12.97,32.7316,-24.75,2.94,38.4448971506,-29.3365033565,15.7885758915,10.4765627852
117,28.517888,91.329024,57.90464,36.14,-52.73,16.7,34.1932,-29.6,6.5,40.4143966619,-35.0029808482,18.9585243212,18.3744008594
118,170.649088,175.526912,171.44192,72.15,-5.57,0.84,71.174,-4.25,-12.92,70.6742839533,-7.44907257145,1.1763377952,2.41283540504
119,160.541184,181.47712,169.32992,71.98,-11.44,2.45,71.9976,-11.35,-10.58,71.4834699837,-13.7487700181,2.56649919187,2.36443082272
120,150.279168,187.624448,165.13536,72.35,-17.28,4.62,72.914,-18.8,-6.88,72.329891601,-20.7517944404,4.799969672,3.4765140683
121,113.84448,194.425344,147.11552,70.84,-35.63,10.79,72.5312,-36.95,2.98,72.3140889724,-42.2301289194,10.7767933411,6.76275198913
122,125.544704,215.892992,246.355456,76.83,-26.03,-21.11,81.9156,-21.0,-41.86,78.2781974462,-29.1427938178,-19.5154451486,3.78541495346
123,241.902336,144.788736,236.723712,68.59,38.04,-25.41,72.9836,47.85,-48.84,69.4801507275,43.8673962408,-26.7208673626,6.03898075073
124,256.0,226.027776,120.205056,86.58,-0.93,45.15,90.4184,-4.65,42.44,86.0442559233,0.427844583165,47.9640313019,3.1701002817
125,133.49248,119.094016,125.710848,53.93,-0.02,-1.04,51.5468,5.35,-13.02,53.6527846987,0.451466864994,0.651473542826,1.77769853298
126,242.000896,126.519296,126.381056,65.07,31.68,16.72,66.1048,42.2,8.7,66.0034177872,34.9962024722,20.9215698376,5.43338354088
127,131.501056,191.885312,123.364352,71.9,-32.19,22.37,72.1948,-34.45,16.56,72.0801926969,-35.3303328172,21.5127170997,3.26022906888
