,ColorName,RGBhex,RGB_R,RGB_G,RGB_B,CIELab_L,CIELab_a,CIELab_b,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z
23,OliveBistre,#cfa02d,207,160,45,68.458,5.0216,54.1678,0.7381,0.7281,0.4572
24,LightBrown,#92533b,146,83,59,42.1747,22.4908,18.0348,0.5465,0.5015,0.4113
25,DeepBrown,#673d30,103,61,48,30.4832,15.8464,9.5587,0.4324,0.4007,0.3529
26,Cinnamon,#f59b44,245,155,68,71.7395,24.637,48.6036,0.8056,0.7564,0.5134
27,YellowBrown,#b16827,177,104,39,51.1452,22.6717,40.3363,0.6242,0.5788,0.3772
28,Buff,#ffae39,255,174,57,77.1776,18.2877,58.906,0.8398,0.8033,0.5087
29,BrownOchre,#ff9518,255,149,24,71.4332,30.5166,65.5412,0.8148,0.7537,0.426
30,Ochre,#de7a1f,222,122,31,61.2619,31.395,54.4888,0.7288,0.6661,0.3936
31,YellowOchre,#fecb2e,254,203,46,83.9554,2.3888,68.2607,0.8665,0.8617,0.5204
32,PurpleBrown,#6c1d2c,108,29,44,24.4772,34.8871,4.8097,0.4187,0.3489,0.3249
33,Chocolate,#66262c,102,38,44,24.93,28.3898,5.198,0.4096,0.3528,0.3269
34,RedBrown,#932b2a,147,43,42,34.1862,42.1164,19.8936,0.5169,0.4326,0.3332
35,LakeBrown,#98041f,152,4,31,31.4888,53.258,24.7516,0.5159,0.4094,0.2856
36,Chestnut,#c03b27,192,59,39,44.9148,50.5017,35.4963,0.6261,0.5251,0.3476
37,OrangeBrown,#d85635,216,86,53,53.5048,47.6255,37.21,0.6944,0.5992,0.4131
38,ReddishBrown,#6b2725,107,39,37,25.8932,29.2221,11.7312,0.4196,0.3611,0.3025
39,Brown,#924c43,146,76,67,40.7112,27.1389,10.9536,0.5432,0.4889,0.4341
40,DeepDullPurple,#58223b,88,34,59,22.0686,27.0424,-10.4093,0.3823,0.3282,0.3802
41,BlackishPurple,#4d1d3a,77,29,58,19.0644,25.671,-14.3127,0.3536,0.3023,0.3738
42,DeepRoseLilac,#591338,89,19,56,19.5366,34.101,-11.8308,0.3746,0.3063,0.3655
43,DeepReddishPurple,#680033,104,0,51,20.7589,43.0102,-5.7937,0.4029,0.3169,0.3459
44,ReddishPurple,#c1347d,193,52,125,46.0074,59.5266,-19.6939,0.6536,0.5345,0.633
45,RoseLilac,#e26eac,226,110,172,61.9115,50.2413,-26.0337,0.7721,0.6717,0.8018
46,DullClaret,#c12962,193,41,98,43.9523,60.3721,-4.3815,0.6376,0.5168,0.5387
47,BrownPurple,#830232,131,2,50,27.015,49.1733,4.5683,0.4692,0.3708,0.348
48,BrightMagenta,#c80067,200,0,103,43.1503,69.1717,-8.7532,0.6483,0.5099,0.5537
49,Cerise,#bb004a,187,0,74,39.68,64.2723,6.2064,0.6085,0.48,0.449
50,BrownLilac,#cb1a5e,203,26,94,44.5801,66.068,-0.4757,0.6544,0.5222,0.5246
51,Claret,#c9305d,201,48,93,46.0717,60.0488,2.187,0.6552,0.5351,0.5242
52,DeepClaret,#900031,144,0,49,29.7903,52.6513,9.483,0.5,0.3947,0.3473
53,Maroon,#5d1c33,93,28,51,21.5673,30.8579,-4.9527,0.3856,0.3239,0.3486
54,DullMauve,#d192ab,209,146,171,67.3171,25.5965,-17.7456,0.7694,0.7183,0.807
55,DullPurple,#8e506b,142,80,107,42.0766,28.2554,-14.2923,0.5572,0.5007,0.5721
56,Plum,#650d45,101,13,69,21.8872,41.0687,-17.9475,0.4088,0.3266,0.4164
57,Purple,#8e0b5d,142,11,93,31.3017,54.1374,-20.5078,0.516,0.4078,0.5103
58,DeepMauve,#a30071,163,0,113,35.9434,62.3157,-27.1638,0.5724,0.4478,0.5836
59,BrightMauve,#d53daf,213,61,175,52.4854,67.6433,-42.3471,0.7257,0.5904,0.8021
60,Mauve,#dd50af,221,80,175,56.2921,62.6191,-36.4232,0.7484,0.6232,0.8053
61,BrightPurple,#b1007a,177,0,122,39.1601,66.115,-28.2211,0.6077,0.4755,0.6166
62,DeepMagenta,#9b0053,155,0,83,33.1207,57.6552,-10.3478,0.5388,0.4235,0.4752
63,Magenta,#b50065,181,0,101,39.1789,64.9099,-13.6002,0.6055,0.4757,0.5437
64,DeepLilac,#571c56,87,28,86,22.0474,34.4174,-30.5469,0.3968,0.328,0.4807
65,BlackishLilac,#3e2140,62,33,64,17.837,19.0049,-20.9789,0.3297,0.2917,0.3966
66,SlateLilac,#913c85,145,60,133,39.4875,44.0635,-35.6894,0.5665,0.4783,0.6568
67,BrightLilac,#bd59b3,189,89,179,53.1875,50.4425,-44.1347,0.6973,0.5964,0.8171
68,Lilac,#cb71c4,203,113,196,60.3309,45.4329,-43.7199,0.7489,0.658,0.8766
69,ReddishLilac,#b95a9d,185,90,157,51.906,45.1639,-32.0392,0.6757,0.5854,0.7456
70,DeepReddishLilac,#4e1a40,78,26,64,18.9229,28.6406,-19.0857,0.3583,0.3011,0.3965
71,DeepPurple,#621247,98,18,71,21.8872,39.0384,-19.5083,0.4047,0.3266,0.4242
72,DullViolet,#7a2d87,122,45,135,33.4856,45.2859,-46.6677,0.5172,0.4266,0.6599
73,DeepViolet,#4c185c,76,24,92,19.8931,34.6648,-38.4569,0.3788,0.3094,0.5017
74,BluishViolet,#781b93,120,27,147,31.5402,54.1004,-57.9053,0.518,0.4098,0.6994
75,Violet,#7e1f8c,126,31,140,32.5002,52.6631,-51.5816,0.5234,0.4181,0.676
76,BrightViolet,#841486,132,20,134,32.0945,55.9249,-48.0778,0.5265,0.4146,0.655
77,BrightReddishViolet,#b839a9,184,57,169,46.9498,61.306,-47.4193,0.6653,0.5427,0.7798
78,ReddishViolet,#8a107b,138,16,123,32.2667,56.2557,-40.1739,0.5286,0.4161,0.617
79,DeepReddishViolet,#711c6a,113,28,106,27.7959,44.7762,-35.6197,0.4671,0.3776,0.5556
80,VioletBlue,#8c68df,140,104,223,52.7341,39.0588,-72.8661,0.6707,0.5925,0.9569
81,DullVioletBlue,#8663b0,134,99,176,48.4192,28.4606,-50.1403,0.6123,0.5553,0.806
82,ChalkyBlue,#4c3670,76,54,112,27.6951,22.4465,-40.374,0.4216,0.3767,0.5786
83,DeepVioletBlue,#38275f,56,39,95,20.5104,21.5997,-39.8186,0.3579,0.3147,0.5138
84,Lavender,#c48deb,196,141,235,67.1144,36.0428,-57.2521,0.7886,0.7165,1.0028
85,SlateViolet,#83498d,131,73,141,40.4322,34.6316,-39.7481,0.5557,0.4865,0.6852
86,SlatePurple,#764965,118,73,101,37.0338,22.4391,-17.983,0.5021,0.4572,0.5471
87,GreyLilac,#aa6d93,170,109,147,53.5892,28.4197,-23.2849,0.6567,0.5999,0.7163
88,GreyBlue,#5873aa,88,115,170,48.5592,4.337,-46.3732,0.5652,0.5565,0.7884
89,Azure,#aab5f3,170,181,243,74.8658,8.0976,-50.3228,0.7995,0.7833,1.0349
90,Cobalt,#8ca2f9,140,162,249,68.2087,12.5126,-64.3195,0.751,0.7259,1.0475
91,BrightBlue,#5849cf,88,73,207,40.1552,41.953,-83.314,0.568,0.4841,0.9007
92,DullUltramarine,#342e96,52,46,150,26.4078,34.3556,-68.6369,0.4343,0.3656,0.7088
93,RoyalBlue,#291883,41,24,131,19.0703,39.3957,-67.7172,0.3811,0.3023,0.6409
